Dzień;Ćwiczenie;Kolejność;Powtórzenia;Serie;Waga (kg);Czas między seriami;Komentarz ;;;;;;;;;;;;;;;;;;;;;
2025-07-06;Bar sumo deadlift;1;6;3;20;01:30;;;;;;;;;;;;;;;;;;;;;;
2025-07-06;Bench Press;2;20;3;20;01:30;;;;;;;;;;;;;;;;;;;;;;
2025-07-06;Bar Bicep Curl;3;10;2;20;01:30;;;;;;;;;;;;;;;;;;;;;;
2025-07-10;Bar sumo deadlift;1;7;2;30;01:30;;;;;;;;;;;;;;;;;;;;;;
2025-07-10;Bench Press;2;15;3;30;01:30;;;;;;;;;;;;;;;;;;;;;;
2025-07-26;Bar sumo deadlift;1;8;4;30;01:30;;;;;;;;;;;;;;;;;;;;;;
2025-07-26;Bench Press;2;16;3;30;01:30;;;;;;;;;;;;;;;;;;;;;;
2025-08-08;Bar sumo deadlift;1;10;4;30;01:30;;;;;;;;;;;;;;;;;;;;;;
2025-08-08;Bench Press;2;15;4;30;01:30;Za lekkie już ;;;;;;;;;;;;;;;;;;;;;
2025-08-08;Bar Bicep Curl;3;5;2;30;01:30;;;;;;;;;;;;;;;;;;;;;;
2025-08-11;Bar sumo deadlift;1;7;1;50;01:30;Za ciężkie ;;;;;;;;;;;;;;;;;;;;;
2025-08-11;Bar sumo deadlift;2;8;3;40;01:30;Optymalnie od teraz;;;;;;;;;;;;;;;;;;;;;
2025-08-11;Bench Press;3;10;3;40;01:30;;;;;;;;;;;;;;;;;;;;;;
2025-08-11;Bar Bicep Curl;4;10;3;20;01:30;Na biceps idealnie, 30 na biceps to za dużo ;;;;;;;;;;;;;;;;;;;;;
2025-08-19;Bar sumo deadlift;1;9;4;40;02:00;Od tego momentu przerwy zwiekszone z 1,5m do 2m;;;;;;;;;;;;;;;;;;;;;
2025-08-19;Bench Press;2;11;4;40;02:00;Ostatnie powtórzenie z olbrzymim trudem, na trzęsących rękach;;;;;;;;;;;;;;;;;;;;;
2025-08-19;Bar Bicep Curl;3;10;4;20;02:00;;;;;;;;;;;;;;;;;;;;;;
2025-08-25;Bar sumo deadlift;1;9;4;40;02:00;;;;;;;;;;;;;;;;;;;;;;
2025-08-25;Bench Press;2;11;4;40;02:00;;;;;;;;;;;;;;;;;;;;;;
2025-08-25;Bar Bicep Curl;3;10;4;20;02:00;;;;;;;;;;;;;;;;;;;;;;
2025-09-13;Bar sumo deadlift;1;10;4;40;02:00;;;;;;;;;;;;;;;;;;;;;;
2025-09-13;Bench Press;2;8;2;50;02:00;;;;;;;;;;;;;;;;;;;;;;
2025-09-13;Bench Press;3;7;1;50;02:00;czuć różnicę zmiany z 40 na 50, ale powtórzenia pod kontrolą, po prostu blisko upadku mięśniowego ;;;;;;;;;;;;;;;;;;;;;
2025-09-13;Bench Press;4;4;1;50;02:00;Następnym razem może 4 x 6?;;;;;;;;;;;;;;;;;;;;;
2025-09-13;Bar Bicep Curl;5;10;4;20;02:00;;;;;;;;;;;;;;;;;;;;;;
2025-09-16;Bar sumo deadlift;1;10;1;20;02:00;rozgrzewka ;;;;;;;;;;;;;;;;;;;;;
2025-09-16;Bar sumo deadlift;2;6;5;50;02:00;ok, idealna ilość powtórzeń i serii przy zwiększonej wadze ;;;;;;;;;;;;;;;;;;;;;
2025-09-16;Bench Press;3;7;3;50;02:00;;;;;;;;;;;;;;;;;;;;;;
2025-09-16;Bench Press;4;5;2;50;02:00;ostatnie powtórzenie w ostatniej serii bardzo blisko upadku ale forma ok;;;;;;;;;;;;;;;;;;;;;
2025-09-16;Bar Bicep Curl;5;6;3;30;02:00;;;;;;;;;;;;;;;;;;;;;;
2025-09-16;Bar Bicep Curl;6;4;1;30;02:00;;;;;;;;;;;;;;;;;;;;;;
2025-10-14;Bar sumo deadlift;1;10;4;50;02:00;ok, idealny wysiłek ;;;;;;;;;;;;;;;;;;;;;
2025-10-14;Bench Press;2;7;3;50;02:00;;;;;;;;;;;;;;;;;;;;;;
2025-10-14;Bench Press;3;5;1;50;02:00;upadek, nie byłem w stanie zrobić 6, ostrożnej next time;;;;;;;;;;;;;;;;;;;;;
2025-10-14;Bar Bicep Curl;4;6;4;30;02:00;ostatnie powtórzenie z ledwością, na granicy upadku ;;;;;;;;;;;;;;;;;;;;;
2025-10-17;Bar sumo deadlift;1;10;4;50;02:30;W połowie czas między seriami zwiększony z 02:00 do 02:30 no oddechowo ledwo dawałem radę ;;;;;;;;;;;;;;;;;;;;;
2025-10-17;Bench Press;2;6;5;50;02:30;Idealny wysiłek, ostatnie powtórzenie na granicy upadku ale czysto zrobione ;;;;;;;;;;;;;;;;;;;;;
2025-10-17;Bar Bicep Curl;3;6;5;30;02:30;Idealny wysiłek, dłuższa przerwa moim zdaniem pomogła by zrobić ostatnią serię czysto ;;;;;;;;;;;;;;;;;;;;;
2025-10-24;Bar sumo deadlift;1;7;4;60;02:30;Waga dobrze przyjęta ale 7 powtórzeń to chyba był max na teraz;;;;;;;;;;;;;;;;;;;;;
2025-10-24;Bench Press;2;7;5;50;02:30;Ok, ale ostatnie powtórzenie w ostatniej serii na granicy upadku, z ledwością ;;;;;;;;;;;;;;;;;;;;;
2025-10-24;Bar Bicep Curl;3;7;5;30;02:30;Generalnie ok, ale ciężej, ostatnia serio bardzo ciężko, ledwością;;;;;;;;;;;;;;;;;;;;;
2025-11-01;Bar sumo deadlift;1;8;4;60;02:30;Dobry progress, ale ponownie max więcej niż 8 bym nie zrobił, ale forma ok;;;;;;;;;;;;;;;;;;;;;
2025-11-01;Bench Press;2;7;5;50;02:30;ok;;;;;;;;;;;;;;;;;;;;;
2025-11-01;Bar Bicep Curl;3;7;5;30;02:30;ok ale 7 powtórzeń to wciąż max i waga też wciąż max;;;;;;;;;;;;;;;;;;;;;
2025-11-02;Bulgarian Split Squat;1;7;1;10;01:30;Lżejsza sesja na urozmaicenie ale lekki wysiłek wyczuwalny;;;;;;;;;;;;;;;;;;;;;
2025-11-02;Bar Bicep Curl;2;10;1;20;01:30;Lżejsza sesja na urozmaicenie ale lekki wysiłek wyczuwalny;;;;;;;;;;;;;;;;;;;;;
2025-11-02;Bulgarian Split Squat;3;7;1;10;01:30;Lżejsza sesja na urozmaicenie ale lekki wysiłek wyczuwalny;;;;;;;;;;;;;;;;;;;;;
2025-11-02;Bar Bicep Curl;4;10;1;20;01:30;Lżejsza sesja na urozmaicenie ale lekki wysiłek wyczuwalny;;;;;;;;;;;;;;;;;;;;;
2025-11-02;Bench Press;5;30;1;20;01:30;Lżejsza sesja na urozmaicenie ale lekki wysiłek wyczuwalny;;;;;;;;;;;;;;;;;;;;;
2025-11-02;Bar sumo deadlift to OHP;6;5;1;20;01:30;Lżejsza sesja na urozmaicenie ale lekki wysiłek wyczuwalny;;;;;;;;;;;;;;;;;;;;;
2025-11-02;Bench Press;7;30;1;20;01:30;Lżejsza sesja na urozmaicenie ale lekki wysiłek wyczuwalny;;;;;;;;;;;;;;;;;;;;;
2025-11-02;Bar sumo deadlift to OHP;8;5;1;20;01:30;Lżejsza sesja na urozmaicenie ale lekki wysiłek wyczuwalny;;;;;;;;;;;;;;;;;;;;;
2025-11-05;Bar sumo deadlift;1;9;4;60;02:30;ok, choć czuć ciężar ;;;;;;;;;;;;;;;;;;;;;
2025-11-05;Bench Press;2;8;4;50;02:30;ok, może nawet minimalny zapas? b. dobra forma;;;;;;;;;;;;;;;;;;;;;
2025-11-05;Bar Bicep Curl;3;8;4;30;02:30;zrobione ok, 3 serie super, ale w ostatniej serii nieczysta forma, zamachiwanie;;;;;;;;;;;;;;;;;;;;;
2025-11-11;Bar sumo deadlift;1;7;1;50;02:30;na rozgrzanie, check formy;;;;;;;;;;;;;;;;;;;;;
2025-11-11;Bar sumo deadlift;2;5;1;80;02:30;szukanie nowego ciężaru ;;;;;;;;;;;;;;;;;;;;;
2025-11-11;Bar sumo deadlift;3;6;4;70;02:30;szukanie ciężaru (tu jest ok, choć ciężko);;;;;;;;;;;;;;;;;;;;;
2025-11-11;Bench Press;4;5;5;60;02:30;ciężko ale dobrze ;;;;;;;;;;;;;;;;;;;;;
2025-11-11;Bar Bicep Curl;5;9;2;32;02:30;ciężko ale dowiezione;;;;;;;;;;;;;;;;;;;;;
2025-11-11;Bar Bicep Curl;6;8;2;30;02:30;ciężko ale dowiezione ;;;;;;;;;;;;;;;;;;;;;
2025-11-15;Bar sumo deadlift to OHP;1;10;1;20;02:30;rozgrzewka ;;;;;;;;;;;;;;;;;;;;;
2025-11-15;Bar sumo deadlift;2;8;1;30;02:30;rozgrzewka ;;;;;;;;;;;;;;;;;;;;;
2025-11-15;Bar sumo deadlift;3;8;3;70;02:30;ok choć ciężko, seria nr 3 z pasem dla testu, 4 bez, ok, ale oddechowo mega ciężko ;;;;;;;;;;;;;;;;;;;;;
2025-11-15;Bench Press;4;6;3;60;02:30;ciężko, ok, ostatnia seria naprawdę ciężko ;;;;;;;;;;;;;;;;;;;;;
2025-11-15;Bench Press;5;9;1;50;02:30;zaskakująco lekko, ale ostatnie powtórzenie tuż przed upadkiem;;;;;;;;;;;;;;;;;;;;;
2025-11-15;Bench Press;6;7;1;50;02:30;ok, kończę tuż przed upadkiem ;;;;;;;;;;;;;;;;;;;;;
2025-11-15;Bar Bicep Curl;7;10;1;30;02:30;ciężko, ale olbrzymia pompa po;;;;;;;;;;;;;;;;;;;;;
2025-11-15;Bar Bicep Curl;8;9;2;30;02:30;ciężko ;;;;;;;;;;;;;;;;;;;;;
2025-11-15;Bar Bicep Curl;9;10;2;20;02:30;ok, zmniejszyłem wagę by docisnąć bicepsy jeszcze, podziałało;;;;;;;;;;;;;;;;;;;;;
2025-11-15;Bulgarian Split Squat;10;5;3;10;02:30;ok;;;;;;;;;;;;;;;;;;;;;
2025-11-15;Bench Chest Flies;11;12;3;10;02:30;ok;;;;;;;;;;;;;;;;;;;;;
2025-11-18;Bar sumo deadlift to OHP;1;10;1;20;02:30;rozgrzewka ;;;;;;;;;;;;;;;;;;;;;
2025-11-18;Bench Press;2;15;4;40;02:30;dziś nieco lżejszy trening  wagowo, ale i tak poczułem ;;;;;;;;;;;;;;;;;;;;;
2025-11-18;Bulgarian Split Squat;3;10;4;10;02:30;tlenowo trudne, ale ok, fajna pompa w udach;;;;;;;;;;;;;;;;;;;;;
2025-11-18;Bar sumo deadlift to OHP;4;5;3;30;02:30;ok choć ciężko ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
